date,geography,geography code,bicycle_male_16to19,bicycle_male_20to21,bicycle_male_22to24,bicycle_male_25to29,bicycle_male_30to34,bicycle_male_35to39,bicycle_male_40to44,bicycle_male_45to49,bicycle_male_50to54,bicycle_male_55to59,bicycle_male_60to64,bicycle_male_65+,bicycle_female_16to19,bicycle_female_20to21,bicycle_female_22to24,bicycle_female_25to29,bicycle_female_30to34,bicycle_female_35to39,bicycle_female_40to44,bicycle_female_45to49,bicycle_female_50to54,bicycle_female_55to59,bicycle_female_60to64,bicycle_female_65+
2011,Daventry,E41000183,38,16,27,20,49,61,67,54,44,30,27,15,5,2,5,9,6,12,11,16,7,12,1,6
2011,East Northamptonshire,E41000184,42,16,22,38,38,55,45,51,32,32,23,8,8,5,5,5,11,18,25,18,16,25,9,6
2011,Kettering,E41000185,34,27,49,68,71,96,91,100,64,36,33,16,5,2,8,14,10,22,23,26,19,18,15,4
2011,Northampton,E41000186,109,78,179,311,287,266,265,275,185,125,88,27,11,16,33,63,64,65,57,98,64,41,21,8
2011,South Northamptonshire,E41000187,28,14,21,21,31,53,38,46,30,25,23,19,7,0,1,7,12,9,17,17,19,15,12,10
2011,Wellingborough,E41000188,32,20,35,49,71,49,62,61,30,27,26,8,3,1,10,9,8,7,2,6,4,5,1,4
2011,Ashfield,E41000196,55,29,39,94,99,125,141,147,110,63,44,5,7,6,7,13,13,16,24,28,21,9,11,4
2011,Bassetlaw,E41000197,75,36,55,79,101,124,118,140,111,76,46,24,11,9,14,19,25,43,44,52,52,40,25,13
2011,Broxtowe,E41000198,70,33,97,169,234,226,235,242,143,123,74,22,10,11,33,78,76,70,84,83,59,26,17,11
2011,Gedling,E41000199,35,19,34,86,100,132,159,139,77,53,33,12,4,4,7,15,17,29,23,24,18,17,4,3
2011,Mansfield,E41000200,34,25,31,72,68,58,73,91,52,42,30,3,3,2,3,10,12,12,12,12,14,6,3,2
2011,Newark and Sherwood,E41000201,116,48,93,129,115,145,164,140,124,80,82,32,45,23,45,64,76,82,118,108,120,88,47,33
2011,Rushcliffe,E41000202,74,30,50,105,126,166,183,147,145,92,52,12,16,5,16,44,44,44,46,78,75,37,29,16
2011,"Herefordshire, County of",E41000019,93,53,121,270,332,294,347,308,262,161,114,49,35,16,30,89,89,81,114,134,104,71,43,31
2011,Telford and Wrekin,E41000020,68,44,86,174,156,189,205,191,132,97,50,16,7,7,12,23,22,20,41,38,22,30,12,10
2011,Stoke-on-Trent,E41000021,67,58,90,179,175,187,213,200,139,81,43,19,7,4,8,12,17,21,18,18,11,8,2,1
2011,Shropshire,E41000051,142,114,176,327,377,427,461,447,331,219,174,88,39,14,34,77,86,113,152,144,158,117,72,50
2011,Cannock Chase,E41000213,29,21,44,53,76,74,88,73,48,35,27,5,0,0,3,6,4,7,14,13,8,5,0,2
2011,East Staffordshire,E41000214,83,38,84,161,135,171,178,186,150,93,68,13,17,8,20,47,29,34,51,53,47,33,26,17
2011,Lichfield,E41000215,44,22,25,51,47,55,64,67,49,29,25,10,8,5,4,12,12,17,14,18,20,15,6,12
2011,Newcastle-under-Lyme,E41000216,28,15,34,68,65,83,79,83,57,51,27,12,1,4,5,9,7,5,8,15,6,9,1,1
2011,South Staffordshire,E41000217,38,12,19,40,25,54,51,65,52,35,21,4,10,2,3,9,9,11,16,23,22,15,8,8
2011,Stafford,E41000218,84,38,87,151,134,172,190,185,132,109,67,32,17,7,14,37,31,55,62,45,49,30,19,15
2011,Staffordshire Moorlands,E41000219,15,10,27,39,39,58,69,73,35,27,18,7,0,0,1,4,2,2,12,5,5,4,4,1
2011,Tamworth,E41000220,49,23,58,75,90,91,91,67,55,43,30,8,3,2,5,17,14,22,28,20,17,12,6,5
2011,North Warwickshire,E41000239,15,15,20,27,28,43,48,40,19,27,16,5,2,1,2,8,3,6,7,7,6,6,2,3
2011,Nuneaton and Bedworth,E41000240,84,49,66,136,123,113,132,122,88,65,44,13,7,5,14,13,20,27,35,38,42,22,12,3
2011,Rugby,E41000241,78,32,56,130,139,150,148,141,120,82,50,26,10,5,20,39,28,37,36,75,48,32,19,7
2011,Stratford-on-Avon,E41000242,64,29,30,72,102,94,132,94,83,75,55,30,18,6,18,28,29,35,47,55,57,43,46,29
2011,Warwick,E41000243,111,39,100,182,178,223,183,196,162,104,84,27,14,13,36,59,65,58,79,82,68,59,34,23
2011,Bromsgrove,E41000251,26,11,23,35,32,47,53,52,37,30,20,14,4,3,6,5,10,10,12,14,11,11,6,1
2011,Malvern Hills,E41000252,30,13,26,53,41,53,75,70,50,40,26,16,6,2,5,7,14,11,9,21,13,9,10,4
2011,Redditch,E41000253,17,24,35,71,88,80,76,57,48,39,44,11,4,2,8,9,7,11,14,10,8,2,1,3
2011,Worcester,E41000254,76,45,92,171,195,211,207,209,148,121,75,39,13,10,26,48,57,53,72,74,65,47,30,12
2011,Wychavon,E41000255,58,19,32,76,86,101,97,121,77,46,45,14,9,6,7,25,17,15,36,41,55,40,18,16
2011,Wyre Forest,E41000256,35,28,43,62,59,71,97,103,52,62,49,13,3,2,2,9,8,13,21,16,14,12,7,2
2011,Birmingham,E41000281,178,157,356,773,790,731,743,649,386,289,155,67,39,53,95,202,196,136,144,138,96,59,21,23
2011,Coventry,E41000282,149,138,268,404,360,341,350,356,261,144,124,54,22,28,44,80,72,78,82,97,69,42,29,20
2011,Dudley,E41000283,77,45,73,154,194,223,252,206,162,111,69,26,10,2,8,9,12,23,26,13,11,14,3,7
2011,Sandwell,E41000284,65,64,87,198,256,261,282,242,188,107,65,25,6,10,8,26,25,19,19,20,13,12,2,7
2011,Solihull,E41000285,71,32,60,89,102,148,168,184,133,66,50,10,7,7,13,12,15,21,36,41,32,22,17,10
2011,Walsall,E41000286,69,50,93,196,200,187,232,200,146,104,62,18,11,8,14,16,24,20,28,27,21,16,4,9
2011,Wolverhampton,E41000287,66,62,105,216,211,274,267,215,148,132,109,35,5,8,17,42,29,31,49,60,38,25,26,10
2011,Peterborough,E41000031,162,131,239,511,470,412,421,352,285,232,156,61,37,38,76,214,161,165,197,196,186,190,82,41
2011,Luton,E41000032,40,34,58,134,138,117,116,126,79,54,33,19,8,9,11,29,18,22,30,36,18,14,6,7
2011,Southend-on-Sea,E41000033,84,63,109,167,248,223,194,173,159,106,62,22,17,16,32,64,79,88,90,103,69,51,28,23
2011,Thurrock,E41000034,60,43,66,102,85,80,91,107,86,60,41,22,8,9,5,30,20,26,30,31,31,34,10,5
2011,Bedford,E41000054,114,55,112,187,232,217,249,211,205,157,117,50,36,28,31,80,109,79,129,156,140,103,55,36
2011,Central Bedfordshire,E41000055,112,43,74,152,165,190,204,164,168,110,75,41,20,10,14,39,34,65,92,84,82,58,46,30
2011,Cambridge,E41000060,341,215,717,1601,1721,1237,937,883,656,501,386,250,303,238,584,1352,1315,838,764,787,674,561,287,165
2011,East Cambridgeshire,E41000061,61,20,34,61,69,74,84,89,54,40,39,20,31,10,21,34,34,41,86,96,75,76,45,37
2011,Fenland,E41000062,67,33,66,134,116,100,142,125,115,104,77,25,22,7,46,58,59,96,98,158,137,133,72,47
2011,Huntingdonshire,E41000063,146,62,134,201,221,223,227,229,161,120,117,38,42,30,63,96,102,135,173,207,162,147,90,49
2011,South Cambridgeshire,E41000064,193,84,175,434,532,539,480,447,310,260,178,82,101,30,102,240,259,243,344,331,260,206,151,60
2011,Basildon,E41000098,80,51,91,121,126,132,146,152,111,68,54,26,13,12,15,20,23,32,32,47,36,20,9,5
2011,Braintree,E41000099,70,33,44,81,80,103,96,92,76,70,45,21,9,11,16,20,21,26,27,50,28,25,19,16
2011,Brentwood,E41000100,17,9,16,16,24,19,24,37,33,26,13,4,7,1,4,4,8,7,11,9,15,12,3,4
2011,Castle Point,E41000101,51,12,18,45,40,45,51,49,29,20,22,15,5,8,5,13,13,19,29,30,45,34,27,11
2011,Chelmsford,E41000102,139,69,109,180,177,181,206,206,177,114,89,36,25,17,50,61,72,78,121,127,111,81,39,33
2011,Colchester,E41000103,134,83,131,327,351,334,258,242,184,153,107,49,50,40,43,92,85,95,131,160,116,99,53,17
2011,Epping Forest,E41000104,26,12,15,32,50,68,57,59,49,13,17,6,5,6,4,8,8,7,7,13,9,6,5,2
2011,Harlow,E41000105,29,27,48,98,91,92,87,112,85,66,36,15,2,7,8,27,20,16,36,39,35,30,10,9
2011,Maldon,E41000106,23,14,23,28,28,38,43,34,35,35,30,23,6,4,5,6,9,11,24,27,35,27,25,25
2011,Rochford,E41000107,34,12,30,37,29,54,47,54,45,15,10,11,3,14,13,2,7,12,19,16,17,13,2,6
2011,Tendring,E41000108,73,35,43,77,105,110,128,139,103,101,88,48,23,7,27,31,33,66,74,106,82,105,66,33
2011,Uttlesford,E41000109,19,9,14,40,54,44,43,29,30,19,20,11,7,3,4,16,12,8,13,14,4,8,5,12
2011,Broxbourne,E41000127,30,16,30,56,62,63,55,70,43,25,20,10,4,2,3,9,5,18,13,23,19,7,8,6
2011,Dacorum,E41000128,46,16,45,88,81,81,84,70,65,48,25,10,9,4,7,12,13,13,18,14,19,12,5,10
2011,East Hertfordshire,E41000129,45,15,28,53,79,83,95,98,69,57,49,18,9,6,11,16,13,23,21,35,37,19,15,12
2011,Hertsmere,E41000130,20,14,27,43,42,51,58,42,48,25,19,11,4,1,8,10,11,10,9,12,13,8,3,6
2011,North Hertfordshire,E41000131,73,19,54,103,93,106,119,110,77,59,43,17,16,5,11,32,26,32,47,68,45,34,18,17
2011,St Albans,E41000132,78,24,54,99,102,105,119,96,85,72,29,15,16,3,17,34,27,39,38,54,31,28,10,15
2011,Stevenage,E41000133,52,23,62,93,80,85,101,103,76,51,30,12,8,11,14,33,19,23,38,46,42,23,12,6
2011,Three Rivers,E41000134,34,9,29,50,52,49,61,50,35,30,28,7,3,0,5,7,11,16,12,16,12,11,2,3
2011,Watford,E41000135,51,27,79,94,124,94,103,83,62,55,20,18,8,4,17,30,30,24,36,38,29,24,13,10
2011,Welwyn Hatfield,E41000136,56,52,83,145,141,93,110,100,98,64,48,14,15,12,22,35,48,35,34,52,38,40,20,10
2011,Breckland,E41000175,78,34,59,131,122,110,129,110,80,75,63,30,25,9,20,29,36,53,64,68,79,79,64,43
2011,Broadland,E41000176,140,39,68,127,186,205,256,256,168,152,109,37,31,12,24,37,50,79,93,94,88,84,40,29
2011,Great Yarmouth,E41000177,63,43,83,113,131,127,148,140,106,86,58,20,7,10,20,27,36,50,99,108,86,65,48,32
2011,King's Lynn and West Norfolk,E41000178,105,67,137,281,291,273,251,229,176,122,110,54,50,18,56,82,83,114,145,135,132,135,69,51
2011,North Norfolk,E41000179,53,24,46,68,85,77,93,62,82,87,72,37,14,7,10,18,15,30,53,45,69,86,57,25
2011,Norwich,E41000180,185,132,303,533,518,454,431,358,281,215,124,45,65,97,173,268,249,198,214,209,178,143,74,33
2011,South Norfolk,E41000181,110,21,44,97,112,146,187,187,111,72,65,34,33,12,17,39,38,63,99,118,100,69,50,42
2011,Babergh,E41000221,37,12,27,49,63,86,73,69,65,45,33,25,10,4,8,18,26,24,33,28,29,26,22,13
2011,Forest Heath,E41000222,35,17,44,85,94,99,94,76,57,53,46,32,13,7,13,29,28,37,53,66,38,49,43,25
2011,Ipswich,E41000223,121,62,102,279,300,270,260,207,197,166,95,32,17,15,30,91,84,103,135,147,135,100,49,29
2011,Mid Suffolk,E41000224,65,25,63,118,123,116,102,114,81,55,48,31,8,5,12,28,35,38,40,61,62,47,31,23
2011,St Edmundsbury,E41000225,67,47,84,185,164,147,159,140,95,73,51,17,12,9,15,54,37,49,55,70,50,50,28,18
2011,Suffolk Coastal,E41000226,124,45,68,139,173,212,237,227,216,128,88,43,31,16,22,46,62,85,119,151,149,136,83,49
2011,Waveney,E41000227,123,65,85,151,183,202,221,206,173,151,130,58,49,42,46,69,79,120,183,179,179,180,82,51
2011,Barking and Dagenham,E41000293,37,43,69,102,110,111,107,101,92,50,32,21,7,4,13,21,18,26,25,27,30,16,9,6
2011,Barnet,E41000294,20,34,86,220,336,305,275,257,154,89,51,29,3,8,26,110,117,64,53,61,38,24,12,7
